ID,Name,Concepticon_ID,Concepticon_Gloss
001,ALL,98,ALL
002,AND,1577,AND
003,ANIMAL,619,ANIMAL
004,ASHES,646,ASH
005,AT,1461,AT
006,BACK,1291,BACK
007,BAD,1292,BAD
008,BARK (OF A TREE),1204,BARK
009,BECAUSE,1157,BECAUSE
010,BELLY,1251,BELLY
011,BIG,1202,BIG
012,BIRD,937,BIRD
013,TO BITE,1403,BITE
014,BLACK,163,BLACK
015,BLOOD,946,BLOOD
016,TO BLOW (WIND),175,BLOW (OF WIND)
017,BONE,1394,BONE
018,TO BREATHE,1407,BREATHE
019,TO BURN (INTRANSITIVE),1428,BURNING
020,CHILD (YOUNG),2099,CHILD
021,CLOUD,1489,CLOUD
022,COLD (WEATHER),2483,COLD (OF WEATHER)
023,TO COME,1446,COME
024,TO COUNT,1420,COUNT
025,TO CUT,1432,CUT
026,DAY (NOT NIGHT),1225,DAY (NOT NIGHT)
027,TO DIE,1494,DIE
028,TO DIG,1418,DIG
029,DIRTY,1230,DIRTY
030,DOG,2009,DOG
031,TO DRINK,1401,DRINK
032,DRY (SUBSTANCE),1398,DRY
033,DULL (KNIFE),379,BLUNT
034,DUST,2,DUST
035,EAR,1247,EAR
036,EARTH (SOIL),1228,EARTH (SOIL)
037,TO EAT,1336,EAT
038,EGG,744,EGG
039,EYE,1248,EYE
040,TO FALL (DROP),1280,FALL
041,FAR,1406,FAR
042,FAT (SUBSTANCE),323,FAT (ORGANIC SUBSTANCE)
043,FATHER,1217,FATHER
044,TO FEAR,1419,FEAR (BE AFRAID)
045,FEATHER (LARGE),1201,FEATHER
046,FEW,1242,FEW
047,TO FIGHT,1423,FIGHT
048,FIRE,221,FIRE
049,FISH,227,FISH
050,FIVE,493,FIVE
051,TO FLOAT,1574,FLOAT
052,TO FLOW,2003,FLOW
053,FLOWER,239,FLOWER
054,TO FLY,1441,FLY (MOVE THROUGH AIR)
055,FOG,249,FOG
056,FOOT,1301,FOOT
057,FOUR,1500,FOUR
058,TO FREEZE,1431,FREEZE
059,FRUIT,1507,FRUIT
060,TO GIVE,1447,GIVE
061,GOOD,1035,GOOD
062,GRASS,606,GRASS
063,GREEN,1425,GREEN
064,GUTS,1334,GUTS
065,HAIR,1040,HAIR
066,HAND,1277,HAND
067,HE,1211,HE
068,HEAD,1256,HEAD
069,TO HEAR,1408,HEAR
070,HEART,1223,HEART
071,HEAVY,1210,HEAVY
072,HERE,136,HERE
073,TO HIT,1433,HIT
074,HOLD (IN HAND),1448,HOLD
075,HOW,1239,HOW
076,TO HUNT (GAME),1435,HUNT
077,HUSBAND,1200,HUSBAND
078,I,1209,I
079,ICE,617,ICE
080,IF,1459,IF
081,IN,1460,IN
082,TO KILL,1417,KILL
083,KNOW (FACTS),1410,KNOW (SOMETHING)
084,LAKE,624,LAKE
085,TO LAUGH,1355,LAUGH
086,LEAF,628,LEAF
087,LEFT (HAND),244,LEFT
088,LEG,1297,LEG
089,TO LIE (ON SIDE),1411,LIE (REST)
090,TO LIVE,1422,BE ALIVE
091,LIVER,1224,LIVER
092,LONG,1203,LONG
093,LOUSE,1392,LOUSE
094,MAN (MALE),1554,MAN
095,MANY,1198,MANY
096,MEAT (FLESH),634,MEAT
097,MOTHER,1216,MOTHER
098,MOUNTAIN,639,MOUNTAIN
099,MOUTH,674,MOUTH
100,NAME,1405,NAME
101,NARROW,1267,NARROW
102,NEAR,1942,NEAR
103,NECK,1333,NECK
104,NEW,1231,NEW
105,NIGHT,1233,NIGHT
106,NOSE,1221,NOSE
107,NOT,1240,NOT
108,OLD,1229,OLD
109,ONE,1493,ONE
110,OTHER,197,OTHER
111,PERSON,683,PERSON
112,TO PLAY,1413,PLAY
113,TO PULL,1455,PULL
114,TO PUSH,1452,PUSH
115,TO RAIN,1253,RAIN (RAINING)
116,RED,156,RED
117,RIGHT (CORRECT),1725,CORRECT (RIGHT)
118,RIGHT (HAND),1019,RIGHT
119,RIVER,666,RIVER
120,ROAD,667,ROAD
121,ROOT,670,ROOT
122,ROPE,1218,ROPE
123,ROTTEN (LOG),1728,ROTTEN
124,RUB,1449,RUB
125,SALT,1274,SALT
126,SAND,671,SAND
127,TO SAY,1458,SAY
128,SCRATCH (ITCH),1436,SCRATCH
129,SEA (OCEAN),1474,SEA
130,TO SEE,1409,SEE
131,SEED,714,SEED
132,TO SEW,1457,SEW
133,SHARP (KNIFE),1396,SHARP
134,SHORT,1645,SHORT
135,TO SING,1261,SING
136,TO SIT,1416,SIT
137,SKIN (OF PERSON),763,SKIN
138,SKY,1732,SKY
139,TO SLEEP,1585,SLEEP
140,SMALL,1246,SMALL
141,TO SMELL (PERCEIVE ODOR),2124,SMELL
142,SMOKE,778,SMOKE (EXHAUST)
143,SMOOTH,1234,SMOOTH
144,SNAKE,730,SNAKE
145,SNOW,784,SNOW
146,SOME,1241,SOME
147,TO SPIT,1440,SPIT
148,TO SPLIT,1437,SPLIT
149,TO SQUEEZE,1414,SQUEEZE
150,TO STAB (OR STICK),1434,STAB
151,TO STAND,1442,STAND
152,STAR,1430,STAR
153,STICK (OF WOOD),1295,STICK
154,STONE,857,STONE
155,STRAIGHT,1404,STRAIGHT
156,TO SUCK,1421,SUCK
157,SUN,1343,SUN
158,TO SWELL,1573,SWELL
159,TO SWIM,1439,SWIM
160,TAIL,1220,TAIL
161,THAT,78,THAT
162,THERE,1937,THERE
163,THEY,817,THEY
164,THICK,1244,THICK
165,THIN,2308,THIN
166,TO THINK,2271,THINK
167,THIS,1214,THIS
168,THOU,1215,THOU
169,THREE,492,THREE
170,TO THROW,1456,THROW
171,TO TIE,1917,TIE
172,TONGUE,1205,TONGUE
173,TOOTH (FRONT),1380,TOOTH
174,TREE,906,TREE
175,TO TURN (VEER),1444,TURN AROUND
176,TWO,1498,TWO
177,TO VOMIT,1278,VOMIT
178,TO WALK,1443,WALK
179,WARM (WEATHER),2110,WARM (OF WEATHER)
180,TO WASH,1453,WASH
181,WATER,948,WATER
182,WE,1212,WE
183,WET,1726,WET
184,WHAT,1236,WHAT
185,WHEN,1238,WHEN
186,WHERE,1237,WHERE
187,WHITE,1335,WHITE
188,WHO,1235,WHO
189,WIDE,1243,WIDE
190,WIFE,1199,WIFE
191,WIND (BREEZE),960,WIND
192,WING,1257,WING
193,WIPE,1454,WIPE
194,WITH (ACCOMPANYING),1340,WITH
195,WOMAN,962,WOMAN
196,WOODS,420,FOREST
197,WORM,1219,WORM
198,YE,1213,YOU
199,YEAR,1226,YEAR
200,YELLOW,1424,YELLOW
